kota_kabupaten;kecamatan;jumlah_penduduk;kepadatan_penduduk;jumlah_anak(0-17th);jumlah_usia_produktif(15-64th);jumlah_penduduk_pria;jumlah_penduduk_perempuan;jenis_fasilitas_olahraga;jumlah
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;kolam renang;0
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;bola voli;2
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;bulu tangkis;5
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;basket;1
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;atletik;0
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;tenis meja;0
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;golf;0
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;senam;1
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;gedung olahraga;3
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;stadion;1
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;gelanggang kecamatan;1
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;gelanggang kotamadya;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;tenis;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;sepak bola;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;kolam renang;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;bola voli;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;bulu tangkis;3
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;basket;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;atletik;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;tenis meja;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;golf;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;senam;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gedung olahraga;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;stadion;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gelanggang kecamatan;1
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gelanggang kotamadya;1
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;tenis;0
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;sepak bola;0
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;kolam renang;0
